food_id,food_name_ar,food_name_en,ingredients_ar,ingredients_en,description_ar,description_en,main_category_ar,main_category_en,calorie_category,rating_avg,image_url,calories_per_100g,fats_per_100g,protein_per_100g,carbs_per_100g,user_1_rating,user_2_rating,user_3_rating,user_4_rating,user_5_rating,user_6_rating,user_7_rating,user_8_rating,user_9_rating,user_10_rating,user_11_rating,user_12_rating,user_13_rating,user_14_rating,user_15_rating,user_16_rating,user_17_rating,user_18_rating,user_19_rating,user_20_rating
249,جمبري مقلي بالردة,Fried Shrimp with Bran,جمبري، ردة، زيت، ملح، فلفل,"shrimp, bran, oil, salt, pepper",جمبري مقلي بالردة على الطريقة المصرية.,Egyptian-style bran-fried shrimp.,أسماك,Seafood,Medium,4.6,https://upload.wikimedia.org/wikipedia/commons/1/1d/Fried_shrimp.jpg,228.0,14.2,16.8,9.7,2.0,,,5.0,,,,,2.0,,,,,3.0,,,,,,4.0
250,فريكة فراخ,Egyptian Freekeh Chicken,فريكة، دجاج، بصل، مرقة، توابل,"freekeh, chicken, onion, broth, spices",طبق فريكة مصري مطهو مع الفراخ.,Freekeh cooked with chicken Egyptian-style.,دواجن,Poultry,Medium,4.6,https://upload.wikimedia.org/wikipedia/commons/9/9f/Grilled_chicken.jpg,215.0,6.5,18.0,22.0,,,5.0,,,,,5.0,,3.0,,,,,,,5.0,,,
251,سلطة طحينة,Egyptian Tahini Salad,طحينة، ليمون، خل، ثوم، ملح,"tahini, lemon, vinegar, garlic, salt",سلطة طحينة تقدم مع المشويات.,Egyptian tahini served with grills.,نباتي,Vegetarian,Medium,4.8,https://upload.wikimedia.org/wikipedia/commons/5/50/Baba_ghanoush.jpg,178.0,14.3,6.8,9.7,1.0,,,5.0,,,,,,1.0,,,,,,,3.0,,3.0,
253,فول بالسمن البلدي,Fava Beans with Ghee,فول مدمس، سمن بلدي، ملح، فلفل,"fava beans, ghee, salt, pepper",فول مصري بالسمن البلدي.,Egyptian fava beans with ghee.,نباتي,Vegetarian,Medium,4.7,https://upload.wikimedia.org/wikipedia/commons/3/3d/Ful_medames.jpg,155.0,6.5,7.5,19.0,3.0,5.0,,,,,,,4.0,,4.0,1.0,3.0,,,,1.0,,,
254,كبدة مشوية على الفحم,Charcoal-Grilled Liver,كبدة، ملح، فلفل، ليمون,"liver, salt, pepper, lemon",كبدة مشوية على الفحم بنكهة مصرية.,Charcoal-grilled Egyptian-style liver.,لحوم,Meat,Medium,4.7,https://upload.wikimedia.org/wikipedia/commons/7/7e/Grilled_liver.jpg,155.0,5.0,25.0,2.0,3.0,,,,,,5.0,1.0,5.0,5.0,,,,,,,5.0,,,4.0
255,سلطة باذنجان مشوي,Roasted Eggplant Salad,باذنجان مشوي، ليمون، ثوم، طحينة,"roasted eggplant, lemon, garlic, tahini",سلطة باذنجان مشوي خفيفة.,Light roasted eggplant salad.,نباتي,Vegetarian,Low,4.6,https://upload.wikimedia.org/wikipedia/commons/5/50/Baba_ghanoush.jpg,198.0,9.3,26.4,0.8,3.0,,,,3.0,,,,,3.0,,,3.0,,2.0,,,3.0,1.0,4.0
257,لحمة مفرومة بالخضار,Minced Beef with Vegetables,لحم مفروم، بصل، جزر، بسلة، فلفل,"minced beef, onion, carrot, peas, pepper",خلطة لحم مفروم مع الخضار تقدم مع الأرز أو المكرونة.,A mix of minced beef and vegetables served with rice or pasta.,لحوم,Meat,High,4.6,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kebab.jpg,250.0,15.0,26.0,0.0,5.0,2.0,3.0,1.0,,,,,,,,2.0,1.0,2.0,,,3.0,,4.0,1.0
258,فراخ مسلوقة ومحمرة,Boiled and Fried Chicken,دجاج، بصل، ورق لورا، ملح، فلفل,"chicken, onion, bay leaves, salt, pepper",فراخ تُسلق ثم تُحمر بطعم مصري أصيل.,Egyptian-style boiled then fried chicken.,دواجن,Poultry,High,4.5,https://upload.wikimedia.org/wikipedia/commons/9/9f/Grilled_chicken.jpg,246.0,12.1,30.6,2.8,,,,,,,,1.0,,,,3.0,5.0,,,3.0,,4.0,,
260,طاجن تورلي باللحمة,Egyptian Vegetable Stew with Meat,كوسة، بطاطس، جزر، لحمة، بصل,"zucchini, potato, carrot, beef, onion",تورلي مصري غني بالخضار وقطع اللحم.,Egyptian mixed vegetable stew with beef.,لحوم,Meat,Medium,4.6,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kebab.jpg,133.0,6.8,12.7,7.9,4.0,1.0,2.0,,1.0,,,,,4.0,,,5.0,3.0,,,5.0,,,
261,بيض بالطماطم والفلفل,Egyptian Shakshuka,بيض، طماطم، فلفل، بصل,"eggs, tomato, pepper, onion",شكشوكة مصرية سريعة التحضير.,Quick Egyptian-style shakshuka.,نباتي,Vegetarian,Medium,4.3,https://upload.wikimedia.org/wikipedia/commons/5/5a/Shakshuka.jpg,135.0,9.0,8.5,5.5,,,,4.0,4.0,,5.0,,1.0,5.0,2.0,,,4.0,,,,,,2.0
262,مكرونة بالخضار السوتيه,Pasta with Sautéed Vegetables,مكرونة، كوسة، جزر، فلفل، زيت,"pasta, zucchini, carrot, pepper, oil",مكرونة خفيفة بالخضار السوتيه.,Light pasta dish with sautéed vegetables.,نباتي,Vegetarian,Medium,4.4,https://upload.wikimedia.org/wikipedia/commons/8/8f/Macarona_Bechamel.jpg,170.0,4.0,5.5,29.0,,,,5.0,3.0,5.0,1.0,,,5.0,,1.0,1.0,,,,4.0,,,4.0
263,رز أحمر بالصلصة,Egyptian Red Rice,أرز، صلصة طماطم، زيت,"rice, tomato sauce, oil",أرز أحمر مصري يقدم عادة مع السمك.,Egyptian-style red rice often served with fish.,نباتي,Vegetarian,Medium,4.5,https://upload.wikimedia.org/wikipedia/commons/4/4c/Roz_meammar.jpg,150.0,3.5,3.5,27.0,,,,2.0,1.0,3.0,,2.0,4.0,2.0,3.0,2.0,2.0,1.0,,3.0,,,,2.0
264,طاجن بسلة باللحمة,Peas with Beef Casserole,بسلة، لحمة، جزر، صلصة,"peas, beef, carrot, tomato sauce",بسلة مطهية داخل طاجن مع اللحم.,Peas baked with beef in a casserole.,لحوم,Meat,Medium,4.6,https://upload.wikimedia.org/wikipedia/commons/5/5b/Peas_and_carrots.jpg,165.0,8.0,14.0,12.0,4.0,,,3.0,1.0,,,2.0,2.0,3.0,,3.0,,1.0,3.0,,,,1.0,2.0
265,بطاطس مسلوقة ومتبهرة,Spiced Boiled Potatoes,بطاطس، ليمون، كمون، زيت,"potatoes, lemon, cumin, oil",بطاطس مسلوقة متبلة تقدم كطبق جانبي.,Boiled potatoes seasoned Egyptian style.,نباتي,Vegetarian,Low,4.2,https://upload.wikimedia.org/wikipedia/commons/f/f7/Baked_potato.jpg,87.0,0.1,1.9,20.1,4.0,2.0,,,,5.0,,,1.0,5.0,5.0,,4.0,,,,4.0,4.0,5.0,
266,طاجن سمك بلطي بالخلطة,Egyptian Tilapia Casserole,سمك بلطي، طماطم، بصل، فلفل,"tilapia, tomato, onion, pepper",سمك بلطي مخبوز مع خلطة مصرية.,Egyptian-style baked tilapia.,أسماك,Seafood,Medium,4.5,https://upload.wikimedia.org/wikipedia/commons/9/9c/Grilled_tilapia.jpg,116.0,2.6,22.0,1.7,,1.0,,5.0,,,,,5.0,1.0,5.0,,3.0,,3.0,,,,,4.0
267,سلطة بنجر مصرية,Egyptian Beetroot Salad,بنجر، خل، ليمون، زيت,"beetroot, vinegar, lemon, oil",سلطة بنجر منعشة تقدم بجانب الأكلات المصرية.,Refreshing beetroot salad served as a side.,نباتي,Vegetarian,Low,4.4,https://upload.wikimedia.org/wikipedia/commons/5/5b/Greek_salad.jpg,44.0,0.2,1.7,9.6,3.0,,,,,,,,,,,3.0,1.0,,,,5.0,2.0,,3.0
268,كباب حلة بالفراخ,Chicken Kebab Halla,صدور دجاج، بصل، توابل,"chicken breast, onion, spices",نسخة مصرية من كباب الحلة ولكن بالفراخ.,Egyptian-style chicken kebab halla.,دواجن,Poultry,Medium,4.6,https://upload.wikimedia.org/wikipedia/commons/9/9b/Kabab_halla.jpg,165.0,3.6,31.0,0.0,,,,2.0,,2.0,,1.0,,5.0,,4.0,5.0,,,4.0,1.0,,1.0,
269,سمك سردين مقلي,Fried Sardines,سردين، دقيق، زيت، ملح,"sardines, flour, oil, salt",سمك سردين مقلي مقرمش.,Crispy fried sardines.,أسماك,Seafood,Medium,4.5,https://upload.wikimedia.org/wikipedia/commons/1/1d/Fried_fish.jpg,205.0,10.5,22.0,7.5,,,,,,,,,,,,,2.0,5.0,,,,,,3.0
270,مكرونة بالسجق المدخن,Smoked Sausage Pasta,مكرونة، سجق مدخن، بصل، فلفل,"pasta, smoked sausage, onion, pepper",مكرونة بنكهة السجق المدخن اللذيذ.,Pasta with flavorful smoked sausage.,لحوم,Meat,High,4.7,https://upload.wikimedia.org/wikipedia/commons/8/8f/Macarona_Bechamel.jpg,301.0,25.6,17.9,1.8,,,4.0,,,,,,,,,4.0,5.0,,,,,,,
275,شوربة لسان العصفور بالفراخ,Chicken Orzo Soup,لسان عصفور، مرقة دجاج، بصل، فراخ,"orzo pasta, chicken broth, onion, chicken",شوربة مصرية خفيفة من لسان العصفور مع الدجاج.,Light Egyptian orzo soup cooked with chicken.,شوربة,Soup,Low,4.5,https://upload.wikimedia.org/wikipedia/commons/6/64/Lentil_soup.jpg,38.0,1.2,4.5,2.9,3.0,4.0,,,,,,,4.0,,,4.0,,,,,5.0,,,
276,سلطة جزر مبشور بالخل,Carrot Vinegar Salad,جزر مبشور، خل، ليمون، زيت، ملح,"shredded carrots, vinegar, lemon, oil, salt",سلطة خفيفة من الجزر المتبل بالخل.,Light salad of vinegar-seasoned shredded carrots.,نباتي,Vegetarian,Low,4.2,https://upload.wikimedia.org/wikipedia/commons/7/7b/Tabbouleh_salad.jpg,35.0,0.2,0.8,8.2,4.0,,,,,,,2.0,,4.0,2.0,,1.0,2.0,,1.0,,,,
277,طاجن سبانخ باللحمة,Spinach & Beef Casserole,سبانخ، لحم، بصل، طماطم، ثوم,"spinach, beef, onion, tomato, garlic",سبانخ مطبوخة داخل طاجن مع اللحم.,Spinach baked with beef in a casserole.,لحوم,Meat,Medium,4.6,https://upload.wikimedia.org/wikipedia/commons/9/98/Okra_with_meat.jpg,155.0,9.0,14.0,6.0,1.0,,2.0,,5.0,1.0,,,,1.0,,,,,,2.0,,2.0,3.0,
278,سمك بوري مشوي بالرده,Grilled Mullet with Bran,سمك بوري، ردة، ملح، ليمون,"mullet fish, bran, salt, lemon",سمك بوري مشوي بطريقة الردة المصرية.,Egyptian-style mullet grilled with bran.,أسماك,Seafood,Low,4.8,https://upload.wikimedia.org/wikipedia/commons/1/1d/Fried_fish.jpg,124.0,2.7,23.0,0.0,5.0,,1.0,,2.0,,,,3.0,,4.0,,5.0,,,1.0,3.0,1.0,,
279,كفتة الحاتي في البيت,Homemade Hati Kofta,لحم مفروم، بصل مبشور، توابل,"minced beef, grated onion, spices",كفتة مشوية بنكهات الحاتي.,Grilled kofta with Egyptian Hati flavor.,لحوم,Meat,High,4.8,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kebab.jpg,177.0,4.7,9.8,22.8,,5.0,4.0,,,5.0,,,,1.0,,2.0,,,,3.0,,3.0,2.0,
281,طاجن فريك بالخضار,Freekeh Vegetable Casserole,فريك، كوسة، جزر، بصل، طماطم، مرقة، زيت,"freekeh, zucchini, carrot, onion, tomatoes, broth, oil",فريك مطبوخ داخل طاجن مع خضار مشكلة.,Freekeh baked with mixed vegetables.,نباتي,Vegetarian,Medium,4.4,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,185.0,3.0,7.0,34.0,2.0,1.0,,,4.0,4.0,2.0,,,,,,5.0,2.0,,,,,3.0,
283,بامية ناشفة مفروكة,Dry Crushed Okra,بامية ناشفة، ثوم، كزبرة، زيت، شطة,"dried okra, garlic, coriander, oil, chili",بامية ناشفة مطبوخة على الطريقة الريفية.,Traditional Egyptian-style dry okra.,نباتي,Vegetarian,Low,4.5,https://upload.wikimedia.org/wikipedia/commons/9/98/Okra_with_meat.jpg,142.0,7.1,14.8,9.7,,,,,,,,1.0,,5.0,,,,,,,1.0,5.0,,
284,مسقعة باردة بالباذنجان فقط,Cold Eggplant Mesakaa,باذنجان مقلي، طماطم، خل، ثوم، فلفل,"fried eggplant, tomatoes, vinegar, garlic, pepper",مسقعة باردة بسيطة تعتمد على الباذنجان فقط.,Cold eggplant with tomato-garlic sauce.,نباتي,Vegetarian,Medium,4.6,https://upload.wikimedia.org/wikipedia/commons/d/d6/Moussaka_egyptian.jpg,35.0,0.2,0.8,8.6,,,,1.0,,,4.0,,,,1.0,3.0,4.0,,1.0,2.0,,3.0,,3.0
286,سمك ماكريل مشوي,Grilled Mackerel,سمك ماكريل، ليمون، ملح، فلفل، زيت,"mackerel, lemon, salt, pepper, oil",سمك ماكريل مشوي بنكهة مميزة.,Charcoal-grilled mackerel.,أسماك,Seafood,Low,4.7,https://upload.wikimedia.org/wikipedia/commons/1/1d/Fried_fish.jpg,124.0,2.7,23.0,0.0,3.0,,,,,,,,,2.0,2.0,,,,1.0,,,,,3.0
287,محمرة مصرية,Egyptian Red Chili Dip,شطة حمرا، زيت، ثوم، خل، ملح,"red chili, oil, garlic, vinegar, salt",شطة مصرية تقدم مع المشويات.,Spicy Egyptian chili-garlic dip.,صوص,Sauce,Low,4.3,https://upload.wikimedia.org/wikipedia/commons/5/50/Baba_ghanoush.jpg,97.0,6.8,2.1,7.9,3.0,,,,1.0,,,,,,,,5.0,,,1.0,,4.0,,
288,طاجن لسان عصفور باللحمة,Orzo & Beef Casserole,لسان عصفور، لحمة، بصل، صلصة، مرقة,"orzo, beef, onion, tomato sauce, broth",طاجن غني يجمع بين اللحمة ولسان العصفور.,Baked orzo casserole with beef.,لحوم,Meat,Medium,4.6,https://upload.wikimedia.org/wikipedia/commons/e/e7/Orzo_pasta_egyptian.jpg,220.0,12.0,22.0,3.0,2.0,3.0,,3.0,,,1.0,4.0,2.0,4.0,,,,,5.0,3.0,,2.0,1.0,2.0
289,قلقاس بالسلق والطماطم,Taro with Swiss Chard & Tomato,قلقاس، سلق، طماطم، ثوم، مرقة,"taro, chard, tomato, garlic, broth",قلقاس مطبوخ بالسلق والطماطم.,Egyptian taro cooked with chard and tomatoes.,نباتي,Vegetarian,Medium,4.4,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,110.0,2.0,3.0,21.0,4.0,,,,,3.0,4.0,4.0,4.0,,,,3.0,,,,,,,1.0
291,فول بالطماطم وكسبرة ناشفة,Fava Beans with Tomato & Coriander,فول مدمس، طماطم، كسبرة ناشفة، زيت، ملح,"fava beans, tomatoes, dried coriander, oil, salt",فول مطبوخ مع الطماطم والكسبرة الناشفة.,Fava beans cooked with tomatoes and coriander.,نباتي,Vegetarian,Medium,4.4,https://upload.wikimedia.org/wikipedia/commons/3/3d/Ful_medames.jpg,112.0,1.0,7.6,19.5,,4.0,,2.0,,,,5.0,2.0,1.0,,,2.0,,,1.0,,,2.0,3.0
293,بطاطس مكعبات محمرة بالثوم والخل,Fried Potatoes with Garlic & Vinegar,بطاطس، ثوم، خل، زيت، ملح,"potatoes, garlic, vinegar, oil, salt",بطاطس محمرة ومتبلة بالثوم والخل.,Crispy potatoes seasoned with garlic and vinegar.,نباتي,Vegetarian,Medium,4.5,https://upload.wikimedia.org/wikipedia/commons/1/12/French_fries.jpg,312.0,14.7,3.4,41.4,4.0,,2.0,,,,,1.0,,,,,2.0,,,,2.0,5.0,3.0,
294,طاجن مكرونة بالسي فود,Egyptian Seafood Pasta Casserole,مكرونة، جمبري، كاليماري، صلصة، ثوم,"pasta, shrimp, calamari, tomato sauce, garlic",طاجن مكرونة بالسي فود بطريقة مصرية.,Egyptian-style seafood pasta casserole.,أسماك,Seafood,High,4.6,https://upload.wikimedia.org/wikipedia/commons/8/8f/Macarona_Bechamel.jpg,116.0,2.6,22.0,1.7,,,,4.0,,,,,,4.0,,3.0,,3.0,,,,3.0,,
295,فراخ بتر ماندي المصري,Egyptian Butter Chicken,دجاج، زبدة، صلصة طماطم، كريمة، بهارات,"chicken, butter, tomato sauce, cream, spices",نسخة مصرية من البتر تشيكن.,Egyptian-style butter chicken.,دواجن,Poultry,Medium,4.8,https://upload.wikimedia.org/wikipedia/commons/9/9f/Grilled_chicken.jpg,245.0,13.0,28.0,5.0,,,,,,,5.0,,2.0,1.0,,,2.0,3.0,,,,,,
296,كباب ضاني مشوي,Grilled Lamb Kebab,لحم ضاني، ملح، فلفل، بصل، بهارات,"lamb, salt, pepper, onion, spices",كباب ضاني مشوي على الفحم.,Charcoal-grilled lamb kebab.,لحوم,Meat,High,4.7,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kebab.jpg,258.0,16.5,25.6,0.0,,,,,,,4.0,2.0,5.0,,,3.0,,2.0,,,,3.0,,4.0
297,سلطة خيار بالخل والثوم,Cucumber Salad with Vinegar & Garlic,خيار، خل، ثوم، ملح,"cucumber, vinegar, garlic, salt",سلطة خيار خفيفة بنكهة الثوم والخل.,Refreshing cucumber salad with garlic.,نباتي,Vegetarian,Low,4.3,https://upload.wikimedia.org/wikipedia/commons/7/7b/Tabbouleh_salad.jpg,20.0,0.2,0.8,4.0,2.0,1.0,4.0,,4.0,,,,,,,5.0,4.0,,,,,,,1.0
298,رز أصفر بالكركم والزبدة,Yellow Rice with Turmeric,أرز، كركم، زبدة، ملح,"rice, turmeric, butter, salt",أرز أصفر مطهو بالكركم والزبدة.,Yellow rice cooked with turmeric and butter.,نباتي,Vegetarian,Medium,4.4,https://upload.wikimedia.org/wikipedia/commons/4/4c/Roz_meammar.jpg,165.0,5.0,3.0,28.0,1.0,,4.0,,,,2.0,2.0,4.0,,,,4.0,,,5.0,,,,4.0
299,لحمة بالبصل والسمنة البلدي,Beef with Onion & Ghee,لحم، بصل، سمن بلدي، فلفل,"beef, onion, ghee, pepper",لحمة متشوحة بالسمنة البلدي والبصل.,Beef sautéed with onions and ghee.,لحوم,Meat,High,4.6,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kebab.jpg,265.0,17.0,22.0,4.0,,,,1.0,,,2.0,,,,,1.0,5.0,,,,2.0,,,
300,خضار سوتيه مصري,Egyptian Steamed Vegetables,بطاطس، جزر، كوسة، فاصوليا، ملح,"potatoes, carrots, zucchini, beans, salt",خضار سوتيه مصري بسيط وصحي.,Light Egyptian sautéed vegetables.,نباتي,Vegetarian,Low,4.2,https://upload.wikimedia.org/wikipedia/commons/5/5b/Peas_and_carrots.jpg,70.0,3.5,2.5,8.0,1.0,,,,,4.0,,3.0,,,,,3.0,,,3.0,,,,
301,مكرونة بشاميل بالجمبري,Shrimp Béchamel Pasta,مكرونة، جمبري، بشاميل، جبنة، ملح، فلفل,"pasta, shrimp, béchamel, cheese, salt, pepper",مكرونة بشاميل بنكهة السي فود بطريقة مصرية.,Egyptian-style béchamel pasta with shrimp.,أسماك,Seafood,High,4.7,https://upload.wikimedia.org/wikipedia/commons/8/8f/Macarona_Bechamel.jpg,218.0,11.1,13.6,18.8,1.0,5.0,,,,,,,2.0,1.0,,2.0,5.0,,,,4.0,2.0,,2.0
302,فراخ مشوية بالخلطة الحارة,Spicy Marinated Grilled Chicken,دجاج، شطة، خل، ثوم، زيت، بهارات,"chicken, chili, vinegar, garlic, oil, spices",فراخ متبلة بخلطة حارة ومشوية.,Grilled chicken marinated in a spicy Egyptian mix.,دواجن,Poultry,Medium,4.6,https://upload.wikimedia.org/wikipedia/commons/9/9f/Grilled_chicken.jpg,165.0,3.6,31.0,0.0,,,2.0,,,,,,4.0,,,4.0,,,,,,,,
303,طاجن عدس أبوصفر,Yellow Lentil Casserole,عدس أصفر، بصل، ثوم، كمون، جزر,"yellow lentils, onion, garlic, cumin, carrot",عدس أصفر مطبوخ داخل طاجن ببهارات مصرية.,Yellow lentils baked Egyptian-style.,نباتي,Vegetarian,Medium,4.5,https://upload.wikimedia.org/wikipedia/commons/6/64/Lentil_soup.jpg,110.0,1.5,7.5,18.5,,,,,1.0,,,5.0,,,3.0,,,,,,5.0,4.0,,
305,محشي كرنب صيامي,Vegan Cabbage Mahshi,كرنب، أرز، صلصة، بصل، توابل,"cabbage, rice, tomato sauce, onion, spices",محشي كرنب بدون لحوم بطريقة صيامي.,Vegan Egyptian stuffed cabbage.,نباتي,Vegetarian,Medium,4.4,https://upload.wikimedia.org/wikipedia/commons/d/d2/Mahshi_karnab.jpg,99.0,2.8,2.0,16.8,1.0,,,3.0,5.0,,4.0,3.0,2.0,2.0,,,4.0,1.0,,,,,,
307,طاجن تورلي صيامي,Vegan Egyptian Tourly,بطاطس، كوسة، جزر، بصل، طماطم,"potato, zucchini, carrot, onion, tomato",تورلي صيامي بدون لحوم داخل طاجن.,Vegan Egyptian vegetable tourly.,نباتي,Vegetarian,Low,4.3,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,60.0,2.0,2.0,9.5,2.0,4.0,4.0,,2.0,5.0,,,,,,,,,,,,,,
308,شوربة حمص بالشطة,Spicy Chickpea Soup,حمص، شطة، ثوم، كمون، مرقة,"chickpeas, chili, garlic, cumin, broth",شوربة حمص مصرية حارة.,Egyptian spicy chickpea soup.,شوربة,Soup,Low,4.5,https://upload.wikimedia.org/wikipedia/commons/6/64/Lentil_soup.jpg,166.0,9.6,7.9,14.3,1.0,,,,,1.0,,5.0,4.0,3.0,1.0,,3.0,3.0,,1.0,,,,4.0
309,صينية باذنجان بالبشاميل,Eggplant Béchamel Tray,باذنجان، بشاميل، جبنة، طماطم,"eggplant, béchamel, cheese, tomato",باذنجان بالبشاميل بنكهة مصرية.,Egyptian-style béchamel eggplant tray.,نباتي,Vegetarian,Medium,4.6,https://upload.wikimedia.org/wikipedia/commons/d/d6/Moussaka_egyptian.jpg,218.0,11.1,13.6,18.8,,,,2.0,,,1.0,,4.0,,3.0,,1.0,3.0,,,,,,
310,سمك دنيس مشوي,Grilled Sea Bream,دنيس، ليمون، زيت، ملح,"sea bream, lemon, oil, salt",سمك دنيس مشوي بنكهة الليمون.,Grilled sea bream with lemon.,أسماك,Seafood,Low,4.7,https://upload.wikimedia.org/wikipedia/commons/1/1d/Fried_fish.jpg,124.0,2.7,23.0,0.0,3.0,,,1.0,,,,,,3.0,,5.0,,,1.0,,,2.0,,4.0
311,حمص,Hummus,حمص، طحينة، ثوم، ليمون، زيت زيتون,"roasted eggplant, tahini, garlic, lemon, olive oil",معجون باذنجان مشوي مع الطحينة الشامية,Roasted eggplant dip with tahini,نباتي,Vegetarian,Medium,4.8,https://upload.wikimedia.org/wikipedia/commons/5/5f/Hummus.jpg,166.0,9.6,7.9,14.3,3.0,4.0,,,,,3.0,,4.0,,5.0,3.0,,,4.0,,,1.0,,2.0
312,شاورما لحم,Beef Shawarma,لحم عجل، خبز، طحينة، بصل، طماطم، مخلل,"beef, pita bread, tahini, onion, tomato, pickles",شاورما لحم متبلة على الطريقة العربية,Classic beef shawarma sandwich,لحوم,Meat,High,4.8,https://upload.wikimedia.org/wikipedia/commons/5/5f/Beef_shawarma.jpg,215.0,11.2,21.8,9.4,,,,,5.0,4.0,3.0,1.0,4.0,3.0,,,1.0,,2.0,,,,,2.0
313,حواوشي,Hawawshi,خبز بلدي، لحم مفروم، بصل، بهارات,"baladi bread, minced meat, onion, spices",خبز بلدي محشي لحم مفروم ومخبوز,Stuffed baladi bread with spiced meat,لحوم,Meat,High,4.8,https://upload.wikimedia.org/wikipedia/commons/5/5d/Hawawshi.jpg,268.0,13.5,16.2,22.1,,,,,2.0,,,,2.0,,,4.0,,,,,2.0,5.0,,
317,ليمون بالنعناع,Lemon Mint,ليمون، نعناع، سكر، ماء,"lime, mint, sugar, water",عصير ليمون منعش بالنعناع الطازج,Refreshing lemon mint drink,مشروبات,Beverages,Low,4.9,https://upload.wikimedia.org/wikipedia/commons/1/15/Lemon_mint.jpg,22.0,0.1,0.3,6.9,4.0,5.0,,,1.0,,,,2.0,4.0,,,2.0,,,,,1.0,,4.0
320,كبدة إسكندراني,Alexandrian Liver,كبدة، ثوم، فلفل، خل، كمون,"liver, garlic, pepper, vinegar, cumin",كبدة حارة على الطريقة الإسكندرانية,Spicy Alexandrian-style liver,لحوم,Meat,High,4.8,https://upload.wikimedia.org/wikipedia/commons/a/a7/Kebda_Alexandria.jpg,191.0,7.8,24.5,3.2,,5.0,,,2.0,,5.0,3.0,1.0,,,5.0,,,2.0,,3.0,,,
322,فراخ بانيه,Chicken Pane,صدور دجاج، بقسماط، بيض، توابل,"chicken breast, breadcrumbs, egg, spices",دجاج بانيه مقرمش,Crispy breaded chicken fillet,دواجن,Poultry,High,4.8,https://upload.wikimedia.org/wikipedia/commons/0/0f/Chicken_pane.jpg,265.0,13.0,22.0,17.0,5.0,,,,5.0,,,,,,,1.0,5.0,4.0,,,3.0,,,
323,باكلافا,Baklava,عجينة جلاش، مكسرات، شربات، سمن,"filo pastry, nuts, syrup, ghee",حلوى شرقية طبقات بالمكسرات والقطر,Layered pastry with nuts and syrup,حلويات,Dessert,High,4.9,https://upload.wikimedia.org/wikipedia/commons/3/3a/Baklava.jpg,428.0,23.0,6.3,51.2,,,,5.0,3.0,,5.0,,1.0,4.0,,,1.0,,,,3.0,,,
324,قطايف,Qatayef,عجينة، جوز أو جبن، شربات، زيت,"pancakes, walnuts or cheese, syrup, oil",حلوى رمضانية محشوة ومقلية,Ramadan stuffed pancakes,حلويات,Dessert,High,4.9,https://upload.wikimedia.org/wikipedia/commons/7/7f/Qatayef.jpg,264.0,10.2,5.3,38.9,,2.0,,5.0,2.0,3.0,2.0,,,5.0,,2.0,1.0,,,,,3.0,,
325,كنافة بالقشطة,Kunafa with Cream,شعيرية، قشطة، سمن، شربات,"vermicelli, cream, ghee, syrup",كنافة محشوة قشطة ومقرمشة,Cream-filled crispy kunafa,حلويات,Dessert,High,4.9,https://upload.wikimedia.org/wikipedia/commons/8/8b/Kunafa_with_cream.jpg,350.0,18.2,7.4,42.8,4.0,4.0,,,,,,,,,,,,,,4.0,3.0,,,
326,أم علي,Om Ali,خبز، حليب، مكسرات، سكر، قشطة,"bread, milk, nuts, sugar, cream",حلوى مصرية دافئة بالمكسرات,Egyptian bread pudding with nuts,حلويات,Dessert,High,4.8,https://upload.wikimedia.org/wikipedia/commons/9/9a/Om_ali.jpg,289.0,15.3,6.2,33.7,,5.0,,,1.0,,3.0,,,,,,,,,,,,,
328,زلابية,Zalabiya,عجينة، زيت، شربات,"dough, oil, syrup",كرات عجين مقلية في القطر,Fried dough balls in syrup,حلويات,Dessert,High,4.7,https://upload.wikimedia.org/wikipedia/commons/5/5a/Zalabiya.jpg,290.0,12.0,4.5,42.0,4.0,,,,,,,,5.0,5.0,3.0,,5.0,,,4.0,,,,
329,مناقيش جبنة,Cheese Manakish,عجينة، جبن عكاوي، زيت,"dough, akkawi cheese, oil",خبز مسطح بالجبن الذائب,Flatbread with melted cheese,معجنات,Pastry,High,4.8,https://upload.wikimedia.org/wikipedia/commons/4/4f/Cheese_manakish.jpg,276.0,13.8,11.2,27.9,,,2.0,,1.0,,,,,,,,,,1.0,,,,,
330,فطيرة سبانخ,Spinach Fatayer,عجينة، سبانخ، بصل، سماق، زيت,"dough, spinach, onion, sumac, oil",فطاير لبنانية بالسبانخ,Lebanese spinach pies,نباتي,Vegetarian,Medium,4.7,https://upload.wikimedia.org/wikipedia/commons/9/9e/Spinach_fatayer.jpg,368.0,19.8,7.2,42.1,,,,,,,,2.0,,3.0,,,2.0,,,,,4.0,,
